Image Nmae,Airspeed Value
1578_test.mp4.jpeg,106.0
151_test.mp4.jpeg,141.0
1678_test.mp4.jpeg,106.0
2235_test.mp4.jpeg,143.0
177_test.mp4.jpeg,142.0
2179_test.mp4.jpeg,144.0
515_test.mp4.jpeg,78.0
121_test.mp4.jpeg,142.0
1206_test.mp4.jpeg,110.0
253_test.mp4.jpeg,143.0
2111_test.mp4.jpeg,137.0
1092_test.mp4.jpeg,114.0
480_test.mp4.jpeg,117.0
280_test.mp4.jpeg,141.0
2373_test.mp4.jpeg,141.0
233_test.mp4.jpeg,143.0
1389_test.mp4.jpeg,109.0
2425_test.mp4.jpeg,141.0
1066_test.mp4.jpeg,107.0
1208_test.mp4.jpeg,111.0
741_test.mp4.jpeg,66.0
1942_test.mp4.jpeg,106.0
2438_test.mp4.jpeg,140.0
2020_test.mp4.jpeg,108.0
494_test.mp4.jpeg,107.0
2879_test.mp4.jpeg,137.0
2212_test.mp4.jpeg,140.0
2925_test.mp4.jpeg,136.0
1248_test.mp4.jpeg,112.0
2547_test.mp4.jpeg,140.0
212_test.mp4.jpeg,143.0
1687_test.mp4.jpeg,106.0
2508_test.mp4.jpeg,139.0
1557_test.mp4.jpeg,110.0
1645_test.mp4.jpeg,102.0
290_test.mp4.jpeg,124.0
2876_test.mp4.jpeg,141.0
120_test.mp4.jpeg,142.0
2233_test.mp4.jpeg,143.0
2542_test.mp4.jpeg,141.0
1930_test.mp4.jpeg,101.0
130_test.mp4.jpeg,143.0
2148_test.mp4.jpeg,135.0
1524_test.mp4.jpeg,105.0
142_test.mp4.jpeg,141.0
3063_test.mp4.jpeg,60.0
534_test.mp4.jpeg,85.0
1024_test.mp4.jpeg,97.0
1321_test.mp4.jpeg,100.0
2106_test.mp4.jpeg,140.0
155_test.mp4.jpeg,142.0
1605_test.mp4.jpeg,105.0
1537_test.mp4.jpeg,99.0
32_test.mp4.jpeg,140.0
592_test.mp4.jpeg,73.0
1102_test.mp4.jpeg,117.0
2178_test.mp4.jpeg,142.0
1735_test.mp4.jpeg,108.0
1816_test.mp4.jpeg,109.0
2972_test.mp4.jpeg,123.0
969_test.mp4.jpeg,97.0
2899_test.mp4.jpeg,137.0
1222_test.mp4.jpeg,111.0
682_test.mp4.jpeg,84.0
614_test.mp4.jpeg,67.0
1813_test.mp4.jpeg,110.0
307_test.mp4.jpeg,117.0
1244_test.mp4.jpeg,113.0
1207_test.mp4.jpeg,110.0
2464_test.mp4.jpeg,143.0
20_test.mp4.jpeg,142.0
1550_test.mp4.jpeg,110.0
64_test.mp4.jpeg,140.0
231_test.mp4.jpeg,143.0
146_test.mp4.jpeg,141.0
1038_test.mp4.jpeg,106.0
1412_test.mp4.jpeg,105.0
337_test.mp4.jpeg,117.0
1651_test.mp4.jpeg,103.0
1034_test.mp4.jpeg,104.0
1467_test.mp4.jpeg,104.0
456_test.mp4.jpeg,85.0
3150_test.mp4.jpeg,39.0
2719_test.mp4.jpeg,131.0
1780_test.mp4.jpeg,106.0
1456_test.mp4.jpeg,106.0
1196_test.mp4.jpeg,110.0
2418_test.mp4.jpeg,137.0
2269_test.mp4.jpeg,143.0
3065_test.mp4.jpeg,62.0
2415_test.mp4.jpeg,141.0
1279_test.mp4.jpeg,118.0
1407_test.mp4.jpeg,104.0
2647_test.mp4.jpeg,139.0
1570_test.mp4.jpeg,106.0
36_test.mp4.jpeg,141.0
370_test.mp4.jpeg,118.0
495_test.mp4.jpeg,105.0
657_test.mp4.jpeg,96.0
376_test.mp4.jpeg,118.0
3003_test.mp4.jpeg,127.0
2305_test.mp4.jpeg,139.0
1588_test.mp4.jpeg,106.0
2069_test.mp4.jpeg,115.0
1799_test.mp4.jpeg,110.0
2731_test.mp4.jpeg,130.0
2864_test.mp4.jpeg,139.0
339_test.mp4.jpeg,117.0
2937_test.mp4.jpeg,137.0
3032_test.mp4.jpeg,83.0
941_test.mp4.jpeg,100.0
286_test.mp4.jpeg,136.0
617_test.mp4.jpeg,69.0
1739_test.mp4.jpeg,105.0
2001_test.mp4.jpeg,99.0
1899_test.mp4.jpeg,96.0
1171_test.mp4.jpeg,108.0
1751_test.mp4.jpeg,110.0
2821_test.mp4.jpeg,144.0
2021_test.mp4.jpeg,110.0
122_test.mp4.jpeg,143.0
2092_test.mp4.jpeg,139.0
2507_test.mp4.jpeg,137.0
1122_test.mp4.jpeg,114.0
2659_test.mp4.jpeg,139.0
1416_test.mp4.jpeg,104.0
1195_test.mp4.jpeg,112.0
2685_test.mp4.jpeg,140.0
1587_test.mp4.jpeg,105.0
504_test.mp4.jpeg,83.0
1801_test.mp4.jpeg,111.0
2918_test.mp4.jpeg,136.0
923_test.mp4.jpeg,103.0
383_test.mp4.jpeg,116.0
2608_test.mp4.jpeg,140.0
1782_test.mp4.jpeg,105.0
1941_test.mp4.jpeg,106.0
33_test.mp4.jpeg,141.0
1056_test.mp4.jpeg,108.0
638_test.mp4.jpeg,80.0
622_test.mp4.jpeg,72.0
2187_test.mp4.jpeg,141.0
1301_test.mp4.jpeg,120.0
1736_test.mp4.jpeg,108.0
1168_test.mp4.jpeg,107.0
1232_test.mp4.jpeg,110.0
1258_test.mp4.jpeg,112.0
558_test.mp4.jpeg,83.0
3052_test.mp4.jpeg,72.0
1117_test.mp4.jpeg,118.0
1814_test.mp4.jpeg,110.0
198_test.mp4.jpeg,143.0
414_test.mp4.jpeg,108.0
3162_test.mp4.jpeg,53.0
439_test.mp4.jpeg,91.0
1149_test.mp4.jpeg,113.0
1770_test.mp4.jpeg,110.0
703_test.mp4.jpeg,79.0
1696_test.mp4.jpeg,106.0
721_test.mp4.jpeg,78.0
2723_test.mp4.jpeg,130.0
2502_test.mp4.jpeg,140.0
2051_test.mp4.jpeg,105.0
3071_test.mp4.jpeg,52.0
3023_test.mp4.jpeg,96.0
1807_test.mp4.jpeg,110.0
730_test.mp4.jpeg,72.0
310_test.mp4.jpeg,115.0
148_test.mp4.jpeg,141.0
2403_test.mp4.jpeg,139.0
2517_test.mp4.jpeg,143.0
1445_test.mp4.jpeg,102.0
1290_test.mp4.jpeg,118.0
1357_test.mp4.jpeg,94.0
1833_test.mp4.jpeg,102.0
436_test.mp4.jpeg,88.0
1781_test.mp4.jpeg,106.0
2205_test.mp4.jpeg,135.0
2176_test.mp4.jpeg,141.0
2474_test.mp4.jpeg,138.0
225_test.mp4.jpeg,141.0
1487_test.mp4.jpeg,105.0
2816_test.mp4.jpeg,143.0
1855_test.mp4.jpeg,102.0
1641_test.mp4.jpeg,103.0
2432_test.mp4.jpeg,144.0
1377_test.mp4.jpeg,109.0
1286_test.mp4.jpeg,119.0
2090_test.mp4.jpeg,138.0
636_test.mp4.jpeg,77.0
1536_test.mp4.jpeg,99.0
